"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01045",281,69,40,65,57,33,14,3,145
"01046",883.999999999998,205.996797708817,120.974629786414,184.264443617228,199.26017893695,111.548832847492,56.8796825747259,5.07543452837075,436.944598263169
"01047",1094,264.663514578408,176.729708431836,257.766745468873,250.007880220646,104.313632781718,33.6217494089834,6.89676910953506,571.569739952718
"01049",3230,699.3210935867,487.25760883082,660.430185024965,679.922994901428,465.765005331408,215.031604793239,22.2715075314395,1623.19920412542
"01050",351,92.4010941979122,48.8903252816495,91.4786352303339,58.2701123975154,34.1309818003968,20.2940972867224,5.53475380546975,176.50005768762
"01051",91,12.2696629213483,8.17977528089888,11.247191011236,24.5393258426966,24.5393258426966,9.20224719101124,1.02247191011236,48.0561797752809
"01052",328,49,46,51,83,64,35,0,160
"01053",41248,6645.38271727181,8494.81097137131,6927.66625450091,7504.12083965371,6727.02733349829,4099.42082150487,849.571062199106,19299.0946334296
"01054",1407,339,194,329,292,187,63,3,705
"01056",346,76,36,91,43,72,25,3,185
"01057",523.000000000002,117.930346896879,59.0037163762702,110.876991103859,124.234868663474,72.2459651523928,34.6335737221668,4.0745380849608,268.649713112598
"01058",835.999999999997,164.330824374705,119.702043601923,151.99045627522,168.357529332767,152.031950730802,72.4447550462209,7.14244063835981,421.591967546969
"01060",500,74.4190427729123,81.1614740720182,77.1668670411288,102.464075009271,101.069347055051,48.4144882584428,15.3047057911756,237.750972325433
"01061",1155.00000000001,207.961165048545,147.815533980583,196.747572815535,284.417475728157,258.932038834953,55.0485436893206,4.07766990291264,562.718446601944
"01062",931,199,150,194,198,136,52,2,479
"01063",531,91.9149441139599,65.363525840644,99.8474747030198,99.1566573630019,131.925093680962,39.5216188704057,3.27068542800594,249.887492326325
"01064",1045,232.817598533456,147.942254812099,228.092575618699,250.038496791934,148.896425297892,33.3959670027498,3.8166819431714,517.25206232814
"01065",1797,356.028145695364,227.104304635762,340.16059602649,410.572847682119,327.26821192053,126.940397350993,8.92549668874172,897.508278145696
"01066",83,16.7865168539326,10.2584269662921,15.8539325842697,18.6516853932584,16.7865168539326,4.6629213483146,0,43.8314606741573
"01067",254,46.8156862745098,40.8392156862745,51.7960784313725,74.7058823529412,31.8745098039216,7.96862745098039,0,125.505882352941
"01068",778.999999999998,125.381615600287,117.292479109946,143.582172703555,162.793871868115,128.403899722719,68.5125348160919,33.0334261792831,386.155988860776
"01069",1502,281,254,269,377,260,56,5,742
"01071",4843,1102.96102173749,800.246833161609,1232.35898656313,1076.3994802005,483.207006534652,133.82210945668,14.0045623459329,2415.54063568104
"01072",3177,631,447,592,669,519,261,58,1516
"01073",1003,166,110,179,226,233,85,4,504
"01074",2528.99999999999,556.787651228433,397.072353559015,543.909412292818,432.043279671023,339.820344721337,207.731813492688,51.6351450346786,1238.51492541056
"01075",1361,287.331532111375,222.293651532111,290.243676017909,304.833436057087,199.025540786344,53.3893049531272,3.88285854204561,698.001903945711
"01076",127,11.7230769230769,14.6538461538462,15.6307692307692,30.2846153846154,38.1,16.6076923076923,0,56.6615384615385
"01077",192,39.7927461139896,19.8963730569948,48.7461139896373,27.8549222797927,38.7979274611399,12.9326424870466,3.97927461139896,95.5025906735751
"01078",1518,320.730950677175,188.213372253672,342.817213747759,338.976124518093,200.098647829148,91.529453138984,35.6342378351689,735.258660825087
"01079",815.999999999997,155.120228851654,71.5164691458925,115.836534532079,156.092215911911,162.433597500659,107.683100038575,47.3178540192265,381.076351359092
"01080",643,130.37716215284,80.5975545415157,119.419965023812,146.315465953416,112.058583934013,47.1925815167912,7.03868687761192,311.078428070721
"01081",732,130.465306122449,109.551020408163,133.45306122449,173.289795918367,129.469387755102,42.8244897959184,12.9469387755102,383.428571428572
"01082",626.999999999999,151.08477453041,124.393259854261,123.73452227954,121.141569057857,73.8111547766639,27.8573202464806,4.9773992547863,300.953660777589
"01083",912,192.005010149715,140.326097003445,189.295814686016,216.78881278797,118.609416157607,49.6644112554132,5.31043795983439,464.43811442189
"01084",868,218.649294245386,108.382193268187,193.203040173724,163.986970684039,129.116178067318,49.0076004343105,5.65472312703583,449.550488599349
"01085",393.999999999998,92.380097747689,47.8576056251294,93.048484285348,74.0400849030783,61.4902523792352,22.1769709814714,3.00650407804696,204.671500755983
"01087",281,52.7891052549238,42.2200037947913,54.0572411485413,61.2371340024822,42.7749750535101,26.9269760645402,0.994564681211087,143.905308775251
"01088",904,168,152,137,292,122,33,0,470
"01089",2195,534.866844207723,297.148246782068,497.845095428318,467.643142476698,287.405681313804,96.4513981358189,13.6395916555704,1080.45051043054
"01090",348,75.2696629213483,44.9662921348314,59.629213483146,64.5168539325842,77.2247191011236,23.4606741573034,2.93258426966292,171.067415730337
"01092",1594,339.86783042394,238.503740648379,296.142144638404,347.81795511222,256.391521197008,107.326683291771,7.9501246882793,791.037406483791
"01093",4881.00000000001,788.46332211163,778.248237775696,754.931679850534,944.212418388197,831.544674186557,636.53096560757,147.068702079822,2280.68460339548
"01094",755,142,95,142,183,121,60,12,379
"01095",818.000000000001,188.956630249271,123.08236349485,164.883989245822,155.226841451844,129.315393948854,51.4610651894335,5.07371641992666,409.505148777682
"01096",1011,211,158,187,237,156,51,11,507
"01098",1144,239,167,194,241,198,101,4,576
"01099",1542,297.148669501282,211.159379870922,329.830556250314,349.419353959287,236.942076334356,95.1652601670772,22.334703916763,773.109464208897
"01100",133,18.2748091603054,11.1679389312977,14.2137404580153,34.5190839694657,31.4732824427481,21.3206106870229,2.03053435114504,69.0381679389314
"01101",151,26.8223684210526,17.8815789473684,29.8026315789474,39.7368421052632,27.8157894736842,7.94736842105263,0.993421052631579,77.4868421052632
"01102",947,220,122,229,188,131,53,4,492
"01103",1980,472.6570497906,307.733829688227,568.478362028851,398.948348068869,158.473708701722,68.1805490926012,5.52815262912983,989.539320614239
"01104",462.999999999999,93.1635886849116,80.5198597727685,89.928678973434,91.8258745275573,73.7019974907527,29.7375691578949,4.12243139268026,232.574293739569
"01105",1755,384.775833788956,283.064516129032,387.654455986878,396.290322580645,213.018042646255,77.7227993439037,12.4740295243302,876.060688901038
"01106",176,36.3798882681564,26.5474860335195,27.5307262569832,38.3463687150838,19.6648044692737,26.5474860335195,0.983240223463687,89.4748603351955
"01107",135,25,14,25,30,33,7,1,73
"01108",1178,189.077083244657,149.096771950929,190.025006026401,208.322461047757,242.973981362601,135.091282311783,63.4134140558753,549.861609568036
"01109",2222,534.038634321653,368.33692722372,585.945193171608,441.205750224618,214.613656783468,73.8670260557053,3.99281221922731,1091.03593890386
"01110",148,24.6666666666667,21.8205128205128,26.5641025641026,26.5641025641026,40.7948717948718,5.69230769230769,1.8974358974359,71.1538461538462
"01111",128,27.1515151515152,13.5757575757576,27.1515151515152,27.1515151515152,23.2727272727273,8.72727272727273,0.96969696969697,72.7272727272727
"01112",432,97.4508592551763,74.3737334880792,106.6443365434,87.3380342381297,50.564125085233,11.9515204746914,3.67739091528967,223.561260626151
